338,43,817
865,821,774
94,985,519
414,710,484
910,609,165
41,994,632
403,494,505
634,454,728
734,709,79
589,504,33
596,971,923
794,175,812
293,811,248
923,765,889
152,90,490
382,910,16
36,930,858
390,939,65
646,225,984
711,625,99
173,709,74
389,636,490
205,401,842
981,620,968
889,823,273
649,870,766
22,629,815
993,260,738
760,348,115
501,996,449
74,278,897
495,635,889
545,344,678
735,61,83
701,977,905
993,541,418
945,401,9
550,797,441
453,222,850
986,928,189
41,333,337
875,204,627
904,733,307
639,350,492
854,952,566
924,939,17
836,352,112
869,619,664
827,555,154
123,797,575
418,938,773
606,26,575
387,715,413
463,320,998
338,69,50
2,636,874
497,691,751
683,22,237
644,141,875
689,15,642
434,826,116
496,689,330
191,368,26
172,644,252
371,68,463
823,738,278
451,156,451
92,1000,877
299,83,407
393,195,399
505,86,690
74,806,563
547,694,544
894,107,509
581,696,136
156,919,821
340,263,506
643,70,583
437,598,181
361,101,481
537,147,972
894,918,964
789,175,377
549,24,351
50,685,670
119,474,338
830,809,52
574,57,936
243,465,224
12,777,22
973,573,997
646,794,941
111,79,964
124,19,150
188,159,76
281,425,654
657,18,366
318,730,583
979,936,553
556,412,778
640,98,505
